auc
0,0.9029195772881963
1,0.9018050828905209
2,0.9025862240531772
3,0.911676318984218
4,0.9092582641749757
5,0.9039246124146715
6,0.8896252512587817
7,0.9069347423726789
8,0.9084522459052282
9,0.911576810555854
Avg,0.9048759129898303
Std,0.006492466280752246
precision (0)
0,0.973753280839895
1,0.9738219895287958
2,0.9737118822292324
3,0.9738356881214024
4,0.973753280839895
5,0.9737945492662474
6,0.9732984293193717
7,0.9738082765845992
8,0.9737945492662474
9,0.9738082765845992
Avg,0.9737380202580287
Std,0.00015889967868381794
precision (1)
0,0.90625
1,0.9830508474576272
2,0.8656716417910447
3,1.0
4,0.90625
5,0.9508196721311475
6,0.9661016949152542
7,0.9666666666666667
8,0.9508196721311475
9,0.9666666666666667
Avg,0.9462296861759555
Std,0.04110388831576243
recall (0)
0,0.9967759269210102
1,0.999462654486835
2,0.9951638903815153
3,1.0
4,0.9967759269210102
5,0.9983879634605051
6,0.99892530897367
7,0.99892530897367
8,0.9983879634605051
9,0.99892530897367
Avg,0.998173025255239
Std,0.001481359350036549
recall (1)
0,0.5370370370370371
1,0.5370370370370371
2,0.5370370370370371
3,0.5370370370370371
4,0.5370370370370371
5,0.5370370370370371
6,0.5277777777777778
7,0.5370370370370371
8,0.5370370370370371
9,0.5370370370370371
Avg,0.5361111111111112
Std,0.0029280348705262903
f1-score (0)
0,0.9851301115241635
1,0.9864757358790772
2,0.984321020462397
3,0.986744432661718
4,0.9851301115241635
5,0.985937914566198
6,0.9859453725802174
7,0.9862068965517241
8,0.985937914566198
9,0.9862068965517241
Avg,0.9858036406867582
Std,0.0007320917328210849
f1-score (1)
0,0.6744186046511628
1,0.6946107784431138
2,0.6628571428571428
3,0.6987951807228916
4,0.6744186046511628
5,0.6863905325443788
6,0.6826347305389222
7,0.6904761904761905
8,0.6863905325443788
9,0.6904761904761905
Avg,0.6841468487905534
Std,0.01084779735196827
support (0)
0,1861
1,1861
2,1861
3,1861
4,1861
5,1861
6,1861
7,1861
8,1861
9,1861
Avg,1861.0
Std,0.0
support (1)
0,108
1,108
2,108
3,108
4,108
5,108
6,108
7,108
8,108
9,108
Avg,108.0
Std,0.0
accuracy
0,0.9715591670898933
1,0.9740985271711529
2,0.9700355510411376
3,0.9746063991874048
4,0.9715591670898933
5,0.973082783138649
6,0.973082783138649
7,0.973590655154901
8,0.973082783138649
9,0.973590655154901
Avg,0.9728288471305231
Std,0.0013805236524716638
