auc
0,0.5569987741586929
1,0.557582481717976
2,0.5563598119271387
3,0.5533559601806077
4,0.5559564363215146
5,0.5552916485674589
6,0.5555419737856993
7,0.5545003678213029
8,0.5541200596864447
9,0.5514082351111822
Avg,0.5551115749278018
Std,0.0018351519136417598
precision (0)
0,0.6959643751739494
1,0.6953386128177745
2,0.6951505643560233
3,0.6940092421698283
4,0.6949199644286349
5,0.694507628294036
6,0.694059501889718
7,0.6935035476687736
8,0.694040064700759
9,0.6929749203270057
Avg,0.6944468421826503
Std,0.0009058009614693605
precision (1)
0,0.4187992722862341
1,0.4182729022207288
2,0.41760385236658437
3,0.41520485676805274
4,0.4168897541981017
5,0.4164324984728161
6,0.4158922930659061
7,0.41488675128307567
8,0.4161872827391023
9,0.4132843587389042
Avg,0.4163453822139506
Std,0.0016550642655596673
recall (0)
0,0.7229257010696734
1,0.7247181266261925
2,0.723778548713501
3,0.7229112460248627
4,0.7229257010696734
5,0.7238219138479329
6,0.7246892165365713
7,0.7247904018502458
8,0.7256721595836947
9,0.7229257010696734
Avg,0.7239158716392022
Std,0.0010038424719363097
recall (1)
0,0.3873247335950645
1,0.38398766124509254
2,0.3842400448681997
3,0.38166012338754907
4,0.384296130117779
5,0.3823331463825014
6,0.3802860347728547
7,0.3785754346606842
8,0.379388670779585
9,0.3786315199102636
Avg,0.3820723499719574
Std,0.0028982519641225727
f1-score (0)
0,0.7091888825865004
1,0.7097244537559366
2,0.7091757607517934
3,0.708165476030331
4,0.7086462436591379
5,0.7088618346545865
6,0.7090437229957642
7,0.7088018885928147
8,0.7095037205062431
9,0.7076335337813936
Avg,0.7088745517314502
Std,0.0006179551052882722
f1-score (1)
0,0.4024475524475524
1,0.40039767826074246
2,0.4002278336814125
3,0.39772644252546063
4,0.39992995972684287
5,0.3986549707602339
6,0.3972929819678614
7,0.3959002331412484
8,0.39693693429371985
9,0.3951997658422362
Avg,0.39847143526473106
Std,0.0022700757444145147
support (0)
0,69180
1,69180
2,69180
3,69180
4,69180
5,69180
6,69180
7,69180
8,69180
9,69180
Avg,69180.0
Std,0.0
support (1)
0,35660
1,35660
2,35660
3,35660
4,35660
5,35660
6,35660
7,35660
8,35660
9,35660
Avg,35660.0
Std,0.0
accuracy
0,0.6087752766119802
1,0.6088229683326974
2,0.6082888210606638
3,0.6068389927508584
4,0.6077451354444868
5,0.6076688286913392
6,0.6075448302174743
7,0.6070297596337276
8,0.6078882106066387
9,0.6058183899275086
Avg,0.6076421213277374
Std,0.0009143309850629046
