auc
0,0.8803604448378306
1,0.880377095584047
2,0.8803709610985987
3,0.8803928699751992
4,0.8805181887493538
5,0.8804410695037201
6,0.8802079590566914
7,0.8804621020252565
8,0.8805322104303779
9,0.8804209133372478
Avg,0.8804083814598324
Std,9.22493391222775e-05
precision (0)
0,0.9173412867490414
1,0.9268187688334051
2,0.9268187688334051
3,0.9268187688334051
4,0.9268187688334051
5,0.9268187688334051
6,0.9268187688334051
7,0.9268187688334051
8,0.9268187688334051
9,0.9268187688334051
Avg,0.9258710206249686
Std,0.0029970429870029435
precision (1)
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
Avg,1.0
Std,0.0
recall (0)
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
Avg,1.0
Std,0.0
recall (1)
0,0.6339622641509434
1,0.6792452830188679
2,0.6792452830188679
3,0.6792452830188679
4,0.6792452830188679
5,0.6792452830188679
6,0.6792452830188679
7,0.6792452830188679
8,0.6792452830188679
9,0.6792452830188679
Avg,0.6747169811320755
Std,0.01431974789510209
f1-score (0)
0,0.9568888888888889
1,0.9620196604110813
2,0.9620196604110813
3,0.9620196604110813
4,0.9620196604110813
5,0.9620196604110813
6,0.9620196604110813
7,0.9620196604110813
8,0.9620196604110813
9,0.9620196604110813
Avg,0.9615065832588622
Std,0.0016224924164057247
f1-score (1)
0,0.7759815242494227
1,0.8089887640449438
2,0.8089887640449438
3,0.8089887640449438
4,0.8089887640449438
5,0.8089887640449438
6,0.8089887640449438
7,0.8089887640449438
8,0.8089887640449438
9,0.8089887640449438
Avg,0.8056880400653919
Std,0.010437805702919713
support (0)
0,2153
1,2153
2,2153
3,2153
4,2153
5,2153
6,2153
7,2153
8,2153
9,2153
Avg,2153.0
Std,0.0
support (1)
0,530
1,530
2,530
3,530
4,530
5,530
6,530
7,530
8,530
9,530
Avg,530.0
Std,0.0
accuracy
0,0.9276928811032427
1,0.9366380916884085
2,0.9366380916884085
3,0.9366380916884085
4,0.9366380916884085
5,0.9366380916884085
6,0.9366380916884085
7,0.9366380916884085
8,0.9366380916884085
9,0.9366380916884085
Avg,0.9357435706298919
Std,0.0028287239598971657
